epoch,ROC,PR,ACC,SPE,SEN,PPV,NPV,F1
99.0000,0.9329,0.9217,0.8602,0.8846,0.8293,0.8500,0.8679,0.8395
98.0000,0.9471,0.9462,0.8602,0.8365,0.8902,0.8111,0.9062,0.8488
97.0000,0.9427,0.9351,0.8710,0.8654,0.8780,0.8372,0.9000,0.8571
96.0000,0.9490,0.9423,0.9086,0.9038,0.9146,0.8824,0.9307,0.8982
95.0000,0.9531,0.9441,0.8656,0.8077,0.9390,0.7938,0.9438,0.8603
94.0000,0.9571,0.9425,0.9086,0.9135,0.9024,0.8916,0.9223,0.8970
93.0000,0.9554,0.9523,0.8871,0.8558,0.9268,0.8352,0.9368,0.8786
92.0000,0.9328,0.9312,0.8441,0.9712,0.6829,0.9492,0.7953,0.7943
91.0000,0.9427,0.9331,0.8817,0.8942,0.8659,0.8659,0.8942,0.8659
90.0000,0.9403,0.9411,0.8925,0.9519,0.8171,0.9306,0.8684,0.8701
89.0000,0.9517,0.9467,0.8925,0.8654,0.9268,0.8444,0.9375,0.8837
88.0000,0.9508,0.9385,0.8710,0.9519,0.7683,0.9265,0.8390,0.8400
87.0000,0.9451,0.9373,0.8441,0.7692,0.9390,0.7624,0.9412,0.8415
86.0000,0.9360,0.9212,0.8656,0.9615,0.7439,0.9385,0.8264,0.8299
85.0000,0.9224,0.9138,0.8118,0.9904,0.5854,0.9796,0.7518,0.7328
84.0000,0.9512,0.9439,0.8871,0.8558,0.9268,0.8352,0.9368,0.8786
83.0000,0.9452,0.9400,0.8817,0.8750,0.8902,0.8488,0.9100,0.8690
82.0000,0.9489,0.9483,0.8871,0.8654,0.9146,0.8427,0.9278,0.8772
81.0000,0.9435,0.9407,0.8656,0.9519,0.7561,0.9254,0.8319,0.8322
80.0000,0.9342,0.9342,0.8978,0.9327,0.8537,0.9091,0.8899,0.8805
79.0000,0.9410,0.9427,0.9032,0.9135,0.8902,0.8902,0.9135,0.8902
78.0000,0.9486,0.9444,0.8978,0.9135,0.8780,0.8889,0.9048,0.8834
77.0000,0.9363,0.9328,0.8871,0.9519,0.8049,0.9296,0.8609,0.8627
76.0000,0.9307,0.9255,0.8871,0.9135,0.8537,0.8861,0.8879,0.8696
75.0000,0.9339,0.9250,0.8172,0.9519,0.6463,0.9138,0.7734,0.7571
74.0000,0.9397,0.9377,0.9194,0.9327,0.9024,0.9136,0.9238,0.9080
73.0000,0.9454,0.9407,0.8763,0.8365,0.9268,0.8172,0.9355,0.8686
