epoch,ROC,PR,ACC,SPE,SEN,PPV,NPV,F1
100.0000,0.9707,0.9595,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
99.0000,0.9701,0.9588,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
98.0000,0.9715,0.9611,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
97.0000,0.9690,0.9576,0.9032,0.9327,0.8659,0.9103,0.8981,0.8875
96.0000,0.9703,0.9594,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
95.0000,0.9700,0.9590,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
94.0000,0.9706,0.9597,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
93.0000,0.9701,0.9588,0.9086,0.9231,0.8902,0.9012,0.9143,0.8957
92.0000,0.9706,0.9596,0.8871,0.9327,0.8293,0.9067,0.8739,0.8662
91.0000,0.9705,0.9596,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
90.0000,0.9695,0.9583,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
89.0000,0.9701,0.9589,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
88.0000,0.9700,0.9588,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
87.0000,0.9708,0.9597,0.9032,0.9327,0.8659,0.9103,0.8981,0.8875
86.0000,0.9703,0.9596,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
85.0000,0.9705,0.9597,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
84.0000,0.9699,0.9585,0.9032,0.9327,0.8659,0.9103,0.8981,0.8875
83.0000,0.9690,0.9570,0.9086,0.9231,0.8902,0.9012,0.9143,0.8957
82.0000,0.9702,0.9591,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
81.0000,0.9693,0.9576,0.9086,0.9231,0.8902,0.9012,0.9143,0.8957
80.0000,0.9705,0.9595,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
79.0000,0.9700,0.9585,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
78.0000,0.9693,0.9579,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
77.0000,0.9688,0.9571,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
76.0000,0.9706,0.9599,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
75.0000,0.9695,0.9578,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
74.0000,0.9705,0.9593,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
73.0000,0.9706,0.9595,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
72.0000,0.9709,0.9606,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
71.0000,0.9703,0.9593,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
70.0000,0.9708,0.9600,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
69.0000,0.9702,0.9590,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
68.0000,0.9702,0.9592,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
67.0000,0.9706,0.9600,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
66.0000,0.9695,0.9583,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
65.0000,0.9697,0.9585,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
64.0000,0.9694,0.9578,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
63.0000,0.9701,0.9590,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
62.0000,0.9695,0.9587,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
61.0000,0.9701,0.9585,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
60.0000,0.9705,0.9593,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
59.0000,0.9694,0.9583,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
58.0000,0.9690,0.9578,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
57.0000,0.9692,0.9573,0.9086,0.9423,0.8659,0.9221,0.8991,0.8931
56.0000,0.9699,0.9586,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
55.0000,0.9714,0.9607,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
54.0000,0.9710,0.9603,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
53.0000,0.9706,0.9598,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
52.0000,0.9705,0.9593,0.9086,0.9231,0.8902,0.9012,0.9143,0.8957
51.0000,0.9710,0.9603,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
50.0000,0.9694,0.9574,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
49.0000,0.9680,0.9545,0.9032,0.9231,0.8780,0.9000,0.9057,0.8889
48.0000,0.9673,0.9541,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
47.0000,0.9654,0.9523,0.8925,0.9135,0.8659,0.8875,0.8962,0.8765
46.0000,0.9659,0.9538,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
45.0000,0.9661,0.9554,0.9140,0.9231,0.9024,0.9024,0.9231,0.9024
44.0000,0.9659,0.9546,0.9086,0.9135,0.9024,0.8916,0.9223,0.8970
43.0000,0.9661,0.9554,0.9032,0.9135,0.8902,0.8902,0.9135,0.8902
42.0000,0.9642,0.9528,0.8871,0.9135,0.8537,0.8861,0.8879,0.8696
41.0000,0.9653,0.9544,0.8978,0.9327,0.8537,0.9091,0.8899,0.8805
40.0000,0.9672,0.9592,0.9086,0.9231,0.8902,0.9012,0.9143,0.8957
39.0000,0.9659,0.9573,0.9140,0.9135,0.9146,0.8929,0.9314,0.9036
38.0000,0.9658,0.9572,0.9086,0.9135,0.9024,0.8916,0.9223,0.8970
37.0000,0.9625,0.9535,0.9086,0.9038,0.9146,0.8824,0.9307,0.8982
36.0000,0.9608,0.9511,0.8978,0.8846,0.9146,0.8621,0.9293,0.8876
